Part Number,Type,Diameter,Length,Material,Finish
73429,Socket Cap Screw,#8-32,"2""",Stainless Steel,Plain
73428,Socket Cap Screw,#8-32,"1-3/4""",Stainless Steel,Plain
73427,Socket Cap Screw,#8-32,"1-1/2""",Stainless Steel,Plain
73426,Socket Cap Screw,#8-32,"1-1/4""",Stainless Steel,Plain
1173425,Socket Cap Screw,#8-32,"1""",Stainless Steel,Plain
1173425,Socket Cap Screw,#8-32,"1""",Stainless Steel,Plain
73431,Socket Cap Screw,#8-32,"7/8""",Stainless Steel,Plain
1173424,Socket Cap Screw,#8-32,"3/4""",Stainless Steel,Plain
1173423,Socket Cap Screw,#8-32,"5/8""",Stainless Steel,Plain
1173422,Socket Cap Screw,#8-32,"1/2""",Stainless Steel,Plain
1173421,Socket Cap Screw,#8-32,"3/8""",Stainless Steel,Plain
1173420,Socket Cap Screw,#8-32,"1/4""",Stainless Steel,Plain
1170706,Machine Screw Nut,#8-32,-,Stainless Steel,Plain
1171007,General Purpose Flat Washer,#8,-,Stainless Steel,Plain
1171057,Split Lock Washer,#8,-,Stainless Steel,Plain
1171207,Fender Washer,#8,-,Stainless Steel,Plain
1171209,Fender Washer,#10,-,Stainless Steel,Plain
1171059,Split Lock Washer,#10,-,Stainless Steel,Plain
1171009,General Purpose Flat Washer,#10,-,Stainless Steel,Plain
1170708,Machine Screw Nut,#10-32,-,Stainless Steel,Plain
1176060,General Purpose Flat Washer,#10,-,Nylon,Plain
73445,Socket Cap Screw,#10-32,"1/4""",Stainless Steel,Plain
1173447,Socket Cap Screw,#10-32,"3/8""",Stainless Steel,Plain
1173448,Socket Cap Screw,#10-32,"1/2""",Stainless Steel,Plain
1173449,Socket Cap Screw,#10-32,"5/8""",Stainless Steel,Plain
1173450,Socket Cap Screw,#10-32,"3/4""",Stainless Steel,Plain
73513,Socket Cap Screw,#10-32,"7/8""",Stainless Steel,Plain
1173451,Socket Cap Screw,#10-32,"1""",Stainless Steel,Plain
1173452,Socket Cap Screw,#10-32,"1-1/4""",Stainless Steel,Plain
1173453,Socket Cap Screw,#10-32,"1-1/2""",Stainless Steel,Plain
73454,Socket Cap Screw,#10-32,"1-3/4""",Stainless Steel,Plain
73455,Socket Cap Screw,#10-32,"2""",Stainless Steel,Plain
73456,Socket Cap Screw,#10-32,"2-1/4""",Stainless Steel,Plain
73514,Socket Cap Screw,#10-32,"2-1/2""",Stainless Steel,Plain
171119,Socket Cap Screw,#10-32,"2-3/4""",Stainless Steel,Plain
1173440,Socket Cap Screw,#10-24,"1""",Stainless Steel,Plain
1170710,Hex Nut,"1/4""-20",-,Stainless Steel,Plain
1173458,Socket Cap Screw,"1/4""-20","3/8""",Stainless Steel,Plain
1170002,Hex Cap Screw,"1/4""-20","5/8""",Stainless Steel,Plain
1170017,Hex Cap Screw,"1/4""-20","3-1/2""",Stainless Steel,Plain
171147,Socket Cap Screw,"1/4""-28","3""",Stainless Steel,Plain
171145,Socket Cap Screw,"1/4""-28","2-1/2""",Stainless Steel,Plain
171144,Socket Cap Screw,"1/4""-28","2-1/4""",Stainless Steel,Plain
73485,Socket Cap Screw,"1/4""-28","2""",Stainless Steel,Plain
73484,Socket Cap Screw,"1/4""-28","1-3/4""",Stainless Steel,Plain
73483,Socket Cap Screw,"1/4""-28","1-1/2""",Stainless Steel,Plain
73482,Socket Cap Screw,"1/4""-28","1-1/4""",Stainless Steel,Plain
73481,Socket Cap Screw,"1/4""-28","1""",Stainless Steel,Plain
171143,Socket Cap Screw,"1/4""-28","7/8""",Stainless Steel,Plain
73480,Socket Cap Screw,"1/4""-28","3/4""",Stainless Steel,Plain
73479,Socket Cap Screw,"1/4""-28","5/8""",Stainless Steel,Plain
73478,Socket Cap Screw,"1/4""-28","1/2""",Stainless Steel,Plain
73477,Socket Cap Screw,"1/4""-28","3/8""",Stainless Steel,Plain
76061,General Purpose Flat Washer,"1/4""",-,Nylon,Plain
1170730,Hex Nut,"1/4""-28",-,Stainless Steel,Plain
1171013,General Purpose Flat Washer,"1/4""",-,Stainless Steel,Plain
1171063,Split Lock Washer,"1/4""",-,Stainless Steel,Plain
1171213,Fender Washer,"1/4""",-,Stainless Steel,Plain
1171065,Split Lock Washer,"5/16""",-,Stainless Steel,Plain
1171015,General Purpose Flat Washer,"5/16""",-,Stainless Steel,Plain
1170731,Hex Nut,"5/16""-24",-,Stainless Steel,Plain
76062,General Purpose Flat Washer,"5/16""",-,Nylon,Plain
73521,Socket Cap Screw,"5/16""-24","1/2""",Stainless Steel,Plain
73522,Socket Cap Screw,"5/16""-24","5/8""",Stainless Steel,Plain
73523,Socket Cap Screw,"5/16""-24","3/4""",Stainless Steel,Plain
73524,Socket Cap Screw,"5/16""-24","1""",Stainless Steel,Plain
73525,Socket Cap Screw,"5/16""-24","1-1/4""",Stainless Steel,Plain
73526,Socket Cap Screw,"5/16""-24","1-1/2""",Stainless Steel,Plain
73528,Socket Cap Screw,"5/16""-24","2""",Stainless Steel,Plain
171161,Socket Cap Screw,"5/16""-24","2-3/4""",Stainless Steel,Plain
1170711,Hex Nut,"5/16""-18",-,Stainless Steel,Plain
73498,Socket Cap Screw,"5/16""-18","1-3/4""",Stainless Steel,Plain
73500,Socket Cap Screw,"5/16""-18","2-1/4""",Stainless Steel,Plain
1173501,Socket Cap Screw,"5/16""-18","2-1/2""",Stainless Steel,Plain
1173541,Socket Cap Screw,"3/8""-16","1-1/4""",Stainless Steel,Plain
1173540,Socket Cap Screw,"3/8""-16","1""",Stainless Steel,Plain
1170712,Hex Nut,"3/8""-16",-,Stainless Steel,Plain
73567,Socket Cap Screw,"3/8""-24","3""",Stainless Steel,Plain
73565,Socket Cap Screw,"3/8""-24","2-1/2""",Stainless Steel,Plain
73564,Socket Cap Screw,"3/8""-24","2-1/4""",Stainless Steel,Plain
73560,Socket Cap Screw,"3/8""-24","1-1/4""",Stainless Steel,Plain
73559,Socket Cap Screw,"3/8""-24","1""",Stainless Steel,Plain
73558,Socket Cap Screw,"3/8""-24","3/4""",Stainless Steel,Plain
1170732,Hex Nut,"3/8""-24",-,Stainless Steel,Plain
1171017,General Purpose Flat Washer,"3/8""",-,Stainless Steel,Plain
1171067,Split Lock Washer,"3/8""",-,Stainless Steel,Plain
1171018,General Purpose Flat Washer,"3/8""",-,Stainless Steel,Plain
M82540016A20000,Hex Cap Screw,M5-0.8,16mm,Stainless Steel,Plain
M82540020A20000,Hex Cap Screw,M5-0.8,20mm,Stainless Steel,Plain
M82550030A20000,Hex Cap Screw,M6-1.0,30mm,Stainless Steel,Plain
M82550035A20000,Hex Cap Screw,M6-1.0,35mm,Stainless Steel,Plain
M82550040A20000,Hex Cap Screw,M6-1.0,40mm,Stainless Steel,Plain
M82580025A20000,Hex Cap Screw,M8-1.25,25mm,Stainless Steel,Plain
M82580035A20000,Hex Cap Screw,M8-1.25,35mm,Stainless Steel,Plain
M82580045A20000,Hex Cap Screw,M8-1.25,45mm,Stainless Steel,Plain
M82600030A20000,Hex Cap Screw,M10-1.5,30mm,Stainless Steel,Plain
M82600035A20000,Hex Cap Screw,M10-1.5,35mm,Stainless Steel,Plain
M82600040A20000,Hex Cap Screw,M10-1.5,40mm,Stainless Steel,Plain
M82600050A20000,Hex Cap Screw,M10-1.5,50mm,Stainless Steel,Plain
M82650050A20000,Hex Cap Screw,M12-1.75,50mm,Stainless Steel,Plain
MW6460000A20000,General Purpose Flat Washer,M16,-,Stainless Steel,Plain
1170110,Hex Cap Screw,"3/8""-16","1-3/4""",Stainless Steel,Plain
1170005,Hex Cap Screw,"1/4""-20","1""",Stainless Steel,Plain
1170003,Hex Cap Screw,"1/4""-20","3/4""",Stainless Steel,Plain
1177001,Hex Cap Screw,"1/4""-20","1/2""",Stainless Steel,Plain
70047,Hex Cap Screw,"1/4""-28","2-1/2""",Stainless Steel,Plain
70036,Hex Cap Screw,"1/4""-28","2-1/4""",Stainless Steel,Plain
70046,Hex Cap Screw,"1/4""-28","2""",Stainless Steel,Plain
70045,Hex Cap Screw,"1/4""-28","1-3/4""",Stainless Steel,Plain
70044,Hex Cap Screw,"1/4""-28","1-1/2""",Stainless Steel,Plain
70043,Hex Cap Screw,"1/4""-28","1-1/4""",Stainless Steel,Plain
1170042,Hex Cap Screw,"1/4""-28","1""",Stainless Steel,Plain
70033,Hex Cap Screw,"1/4""-28","7/8""",Stainless Steel,Plain
70091,Hex Cap Screw,"5/16""-24","3/4""",Stainless Steel,Plain
1170092,Hex Cap Screw,"5/16""-24","1""",Stainless Steel,Plain
70093,Hex Cap Screw,"5/16""-24","1-1/4""",Stainless Steel,Plain
172215,Hex Cap Screw,"5/16""-24","1-3/8""",Stainless Steel,Plain
70094,Hex Cap Screw,"5/16""-24","1-1/2""",Stainless Steel,Plain
70095,Hex Cap Screw,"5/16""-24","1-3/4""",Stainless Steel,Plain
70096,Hex Cap Screw,"5/16""-24","2""",Stainless Steel,Plain
70088,Hex Cap Screw,"5/16""-24","2-1/4""",Stainless Steel,Plain
70097,Hex Cap Screw,"5/16""-24","2-1/2""",Stainless Steel,Plain
70089,Hex Cap Screw,"5/16""-24","2-3/4""",Stainless Steel,Plain
1170064,Hex Cap Screw,"5/16""-18","2-3/4""",Stainless Steel,Plain
1170109,Hex Cap Screw,"3/8""-16","1-1/2""",Stainless Steel,Plain
1170105,Hex Cap Screw,"3/8""-16","1""",Stainless Steel,Plain
172284,Hex Cap Screw,"3/8""-24","3-1/4""",Stainless Steel,Plain
70148,Hex Cap Screw,"3/8""-24","3""",Stainless Steel,Plain
70147,Hex Cap Screw,"3/8""-24","2-1/2""",Stainless Steel,Plain
70146,Hex Cap Screw,"3/8""-24","2""",Stainless Steel,Plain
